X,Y
1.0,4.303318911730911
1.2307692307692308,4.863720716459745
1.4615384615384617,5.465025180622312
1.6923076923076923,4.842473320983225
1.9230769230769231,5.537993743723228
2.153846153846154,5.660040159045313
2.3846153846153846,5.270437891352108
2.6153846153846154,5.821152055439983
2.8461538461538463,5.230134532010968
3.076923076923077,5.670405606880026
3.307692307692308,6.079619894541472
3.5384615384615388,6.043683218579534
3.769230769230769,5.820338188790407
4.0,6.3096139268371925
4.230769230769231,6.383162333733166
4.461538461538462,6.039699203504147
4.6923076923076925,6.645537028567618
4.923076923076923,6.746607031509603
5.153846153846154,5.940680353353009
5.384615384615385,6.36019627086974
5.615384615384616,6.075617390886118
5.846153846153847,5.890218539050498
6.0769230769230775,6.6630039991124965
6.307692307692308,6.406241056364606
6.538461538461538,6.52911048457515
6.769230769230769,6.5556058984524554
7.0,7.212344318478233
7.230769230769231,6.466813930269402
7.461538461538462,6.710479073173812
7.6923076923076925,7.042453359268258
7.923076923076923,6.732854650017157
8.153846153846153,6.772615648502629
8.384615384615385,6.724877785405698
8.615384615384617,7.131363173557044
8.846153846153847,7.2485581856625885
9.076923076923077,7.1423754175001495
9.307692307692308,6.8326021257398475
9.538461538461538,6.768000637874992
9.76923076923077,7.401420053472433
10.0,7.339988283449184
