X,Y
-10.0,28796.797578109636
-9.487179487179487,23267.2992415697
-8.974358974358974,18572.937350537584
-8.461538461538462,14627.41417738241
-7.948717948717949,11346.058838766128
-7.435897435897436,8648.564903124141
-6.923076923076923,6462.283976632082
-6.410256410256411,4718.716000487356
-5.897435897435898,3353.680425496481
-5.384615384615385,2307.3003295056787
-4.871794871794872,1526.505939918842
-4.3589743589743595,962.4877696209699
-3.8461538461538467,569.7822558536303
-3.333333333333334,311.2589796636925
-2.820512820512821,152.36891466715645
-2.3076923076923084,62.73514914874478
-1.7948717948717956,19.982360444872896
-1.2820512820512828,3.8149218154284705
-0.76923076923077,0.6969983112389355
-0.2564102564102573,1.680404898291214
0.2564102564102555,2.34041605480121
0.7692307692307683,1.8155383866485555
1.282051282051281,9.472143613794998
1.7948717948717938,33.84252568989174
2.3076923076923066,89.50154500362392
2.8205128205128194,199.279944611324
3.333333333333332,388.8855403505038
3.846153846153845,687.6029902684589
4.358974358974358,1131.8225128444913
4.8717948717948705,1762.6410054073144
5.384615384615383,2625.3221638904893
5.897435897435896,3770.2656542264713
6.410256410256409,5252.181560064443
6.92307692307692,7132.969383879665
7.435897435897434,9477.675865138544
7.948717948717949,12357.845434747669
8.46153846153846,15847.015274861882
8.974358974358971,20028.02784374722
9.487179487179485,24983.697769335293
10.0,30807.124571772078
